roi,model,waic
Gambia,reducedlinearmodelq0_fit_table,16.533958002316147
Cabo Verde,reducedlinearmodelNegBinom_fit_table,107.68457221004792
Antigua and Barbuda,reducedlinearmodelq0_fit_table,108.71574896727287
Somalia,nonlinearmodelq0ctime_fit_table,116.41970736617948
Zimbabwe,reducedlinearmodelNegBinom_fit_table,123.38689251143013
Syria,reducedlinearmodelq0_fit_table,126.14889851379965
Sudan,reducedlinearmodelNegBinom_fit_table,126.75845836513972
Benin,reducedlinearmodelNegBinom_fit_table,130.58385791884436
Liberia,reducedlinearmodelNegBinom_fit_table,133.39414504503213
Congo (Brazzaville),nonlinearmodelq0ctime_fit_table,146.91974790551808
Libya,reducedlinearmodelNegBinom_fit_table,150.3658368784482
Haiti,reducedlinearmodelNegBinom_fit_table,160.69655640331717
Burma,nonlinearmodelq0ctime_fit_table,162.02322614027503
Guyana,reducedlinearmodelNegBinom_fit_table,169.55023286753124
Liechtenstein,reducedlinearmodelq0_fit_table,170.10708344580465
Gabon,nonlinearmodelq0ctime_fit_table,173.62457377949752
Bahamas,reducedlinearmodelNegBinom_fit_table,189.88696596812932
Tanzania,nonlinearmodelq0ctime_fit_table,194.710186033106
Zambia,reducedlinearmodelq0_fit_table,201.4548328011929
US_VI,fulllinearmodel_fit_table,205.0705050585043
Barbados,reducedlinearmodelNegBinom_fit_table,234.70540298367428
Ethiopia,nonlinearmodelq0ctime_fit_table,237.25311510455083
Monaco,reducedlinearmodelNegBinom_fit_table,241.93552656246675
Mali,fulllinearmodel_fit_table,252.0110657396121
Togo,reducedlinearmodelNegBinom_fit_table,263.8982014943548
El Salvador,reducedlinearmodelq0_fit_table,266.1687671454956
Guinea,reducedlinearmodelNegBinom_fit_table,270.20711776274067
Jamaica,nonlinearmodelq0ctime_fit_table,270.60762816489546
Djibouti,reducedlinearmodelq0_fit_table,283.73602629466694
Trinidad and Tobago,reducedlinearmodelq0_fit_table,288.34215810133634
Kosovo,nonlinearmodelq0ctime_fit_table,288.7979793074173
Guatemala,nonlinearmodelq0ctime_fit_table,289.34402595859507
US_GU,reducedlinearmodelq0ctime_fit_table,320.90187966978266
Congo (Kinshasa),reducedlinearmodelq0ctime_fit_table,330.62450338409127
Paraguay,reducedlinearmodelq0_fit_table,333.7755990386357
Niger,reducedlinearmodelq0_fit_table,337.09556522079976
Montenegro,reducedlinearmodelq0_fit_table,349.62373401155776
Kenya,reducedlinearmodelq0_fit_table,359.24068727424566
Mauritius,reducedlinearmodelq0_fit_table,360.3576364940461
Ghana,fulllinearmodel_fit_table,363.65036134346235
Brunei,reducedlinearmodelq0ctime_fit_table,365.9192150651608
Kyrgyzstan,reducedlinearmodelq0ctime_fit_table,370.3196209204262
Venezuela,reducedlinearmodelq0ctime_fit_table,378.8324921020177
US_AK,reducedlinearmodelNegBinom_fit_table,380.5693617466446
US_WY,reducedlinearmodelNegBinom_fit_table,392.7914584581089
Honduras,reducedlinearmodelNegBinom_fit_table,401.7794755746589
Sri Lanka,reducedlinearmodelq0ctime_fit_table,405.54232875087405
Bolivia,fulllinearmodel_fit_table,412.3174968325874
Cameroon,reducedlinearmodelq0_fit_table,425.33353110997734
Malta,reducedlinearmodelq0_fit_table,427.07492963204317
Nigeria,reducedlinearmodelq0_fit_table,427.28346191668
US_MT,reducedlinearmodelNegBinom_fit_table,427.8686016199442
US_ND,reducedlinearmodelq0ctime_fit_table,428.6253045450874
West Bank and Gaza,fulllinearmodel_fit_table,429.39725584118594
US_WV,reducedlinearmodelq0ctime_fit_table,430.01271393145055
Uruguay,reducedlinearmodelq0_fit_table,460.43752713955513
US_VT,fulllinearmodel_fit_table,460.5249689709095
Uzbekistan,fulllinearmodel_fit_table,464.7076134792634
Diamond Princess,reducedlinearmodelq0_fit_table,471.3377341037883
Latvia,reducedlinearmodelq0_fit_table,472.00436611673246
Georgia,reducedlinearmodelNegBinom_fit_table,474.93549922668717
Jordan,reducedlinearmodelq0_fit_table,476.7620510694784
US_HI,reducedlinearmodelq0_fit_table,479.3920577217172
Afghanistan,fulllinearmodel_fit_table,482.73622494293363
Cuba,reducedlinearmodelNegBinom_fit_table,484.7478510639143
Bangladesh,nonlinearmodelq0ctime_fit_table,486.7932322677655
Costa Rica,reducedlinearmodelq0_fit_table,509.1862596501877
Senegal,reducedlinearmodelq0_fit_table,510.4750323885338
San Marino,reducedlinearmodelq0ctime_fit_table,510.8959331298954
