Region,Model,Mean IFR (week 0),CI lower,CI upper,Mean WAIC
US,reducedlinearmodelq0ctime,0.0957,0.0022,0.2703,2113.83
US_AK,reducedlinearmodelNegBinom,0.0034,0.0009,0.0182,380.57
US_AR,reducedlinearmodelNegBinom,0.0014,0.0004,0.0075,651.4
US_AZ,reducedlinearmodelNegBinom,0.0036,0.0009,0.0225,702.4
US_DC,reducedlinearmodelNegBinom,0.0016,0.0005,0.0094,674.54
US_DE,reducedlinearmodelNegBinom,0.0031,0.0008,0.019,611.75
US_GU,reducedlinearmodelq0ctime,0.0059,0.0012,0.027,320.9
US_HI,reducedlinearmodelq0,0.0027,0.0007,0.0175,479.39
US_IA,reducedlinearmodelq0,0.0023,0.0006,0.0153,680.52
US_KY,reducedlinearmodelNegBinom,0.0039,0.0009,0.0263,645.72
US_MD,reducedlinearmodelq0,0.0024,0.0006,0.0157,840.32
US_ME,fulllinearmodel,0.0022,0.0006,0.0116,546.71
US_MI,reducedlinearmodelq0,0.0043,0.001,0.0321,1182.76
US_MN,reducedlinearmodelNegBinom,0.0022,0.0006,0.0106,776.14
US_MT,reducedlinearmodelNegBinom,0.0039,0.0009,0.0261,427.87
US_ND,reducedlinearmodelq0ctime,0.0035,0.0009,0.0155,428.63
US_NH,reducedlinearmodelq0,0.0033,0.0008,0.0212,572.08
US_NJ,reducedlinearmodelq0,0.0033,0.0008,0.0194,1150.61
US_NM,reducedlinearmodelq0,0.003,0.0007,0.0188,579.31
US_NY,nonlinearmodelq0ctime,0.0022,0.0006,0.0104,1563.98
US_OK,reducedlinearmodelq0,0.0032,0.0008,0.0216,668.83
US_RI,fulllinearmodel,0.005,0.0011,0.0501,645.83
US_SD,fulllinearmodel,0.0022,0.0005,0.0169,542.27
US_TN,reducedlinearmodelq0,0.0018,0.0005,0.0105,862.29
US_TX,reducedlinearmodelNegBinom,0.0027,0.0007,0.0162,940.2
US_UT,fulllinearmodel,0.005,0.001,0.0393,603.59
US_VA,fulllinearmodel,0.0043,0.001,0.035,754.02
US_VI,fulllinearmodel,0.0182,0.0023,0.2158,205.07
US_VT,fulllinearmodel,0.0065,0.0013,0.0503,460.52
US_WV,reducedlinearmodelq0ctime,0.0043,0.001,0.024,430.01
US_WY,reducedlinearmodelNegBinom,0.0037,0.0009,0.0232,392.79
Afghanistan,fulllinearmodel,0.0063,0.0013,0.0824,482.74
Albania,fulllinearmodel,0.005,0.0013,0.0223,547.17
Algeria,fulllinearmodel,0.0077,0.0015,0.0707,908.4
Andorra,reducedlinearmodelq0,0.0042,0.001,0.0251,511.18
Antigua and Barbuda,reducedlinearmodelq0,0.0245,0.0032,0.2771,108.72
